['2025-05-06-20-38-32_0', [1, 100]]
['2025-05-06-20-41-01_0', [1, 100]]
['2025-05-06-20-43-31_0', [1, 100]]
['2025-05-06-20-46-01_0', [1, 100]]
['2025-05-06-20-48-34_0', [1, 100]]
['2025-05-06-20-51-02_0', [1, 100]]
['2025-05-06-20-53-31_0', [1, 100]]
['2025-05-06-20-56-00_0', [1, 100]]
['2025-05-06-20-58-30_0', [1, 100]]
['2025-05-06-21-00-58_0', [1, 100]]
['2025-05-06-21-03-26_0', [1, 100]]
['2025-05-06-21-05-55_0', [1, 100]]
['2025-05-06-21-08-25_0', [1, 100]]
['2025-05-06-21-10-54_0', [1, 100]]
['2025-05-06-21-13-22_0', [1, 100]]
['2025-05-06-21-15-50_0', [1, 100]]
['2025-05-06-21-18-18_0', [1, 100]]
['2025-05-06-21-20-46_0', [1, 100]]
['2025-05-06-21-23-16_0', [1, 100]]
['2025-05-06-21-25-45_0', [1, 100]]
['2025-05-06-21-28-14_0', [1, 100]]
['2025-05-06-21-30-47_0', [1, 100]]
['2025-05-06-21-33-16_0', [1, 100]]
['2025-05-06-21-35-45_0', [1, 100]]
['2025-05-06-21-38-15_0', [1, 100]]
['2025-05-06-21-40-45_0', [1, 100]]
['2025-05-06-21-43-14_0', [1, 100]]
['2025-05-06-21-45-46_0', [1, 100]]
['2025-05-06-21-48-15_0', [1, 100]]
['2025-05-06-21-50-44_0', [1, 100]]
['2025-05-06-21-53-12_0', [1, 100]]
['2025-05-06-21-55-41_0', [1, 100]]
['2025-05-06-21-58-10_0', [1, 100]]
['2025-05-06-22-00-38_0', [1, 100]]
['2025-05-06-22-03-08_0', [1, 100]]
['2025-05-06-22-05-38_0', [1, 100]]
['2025-05-06-22-08-07_0', [1, 100]]
['2025-05-06-22-10-36_0', [1, 100]]
['2025-05-06-22-13-11_0', [1, 100]]
['2025-05-06-22-15-39_0', [1, 100]]
['2025-05-06-22-18-08_0', [1, 100]]
['2025-05-06-22-20-37_0', [1, 100]]
['2025-05-06-22-23-05_0', [1, 100]]
['2025-05-06-22-25-33_0', [1, 100]]
['2025-05-06-22-28-02_0', [1, 100]]
['2025-05-06-22-30-30_0', [1, 100]]
['2025-05-06-22-32-59_0', [1, 100]]
['2025-05-06-22-35-27_0', [1, 100]]
